,Date,User,Tweet,hashtag,text,Segmented#
75,2022-11-20 05:34:43+00:00,imVkohli,"Do you think you can match my Karare moves? Then take the #KarareBeatsChallenge on Instagram &amp; win an exclusive bat signed by me.

Try the Karare Beats filter now &amp; send your entries. Tag your friends now!

Filter Link: https://t.co/30X1eG3qRu

#Collab #TooYumm https://t.co/1hYAk3SPd6","['KarareBeatsChallenge', 'Collab', 'TooYumm']","['think', 'match', 'karare', 'move', 'take', 'instagram', 'win', 'exclusive', 'bat', 'signed', 'metry', 'karare', 'beat', 'filter', 'send', 'entry', 'tag', 'friend', 'filter', 'link']",karare beats challenge  collab  too yumm
76,2022-11-16 04:59:32+00:00,imVkohli,"Come and experience the Audi lifestyle with Audi Club Rewards. It’s a great way to indulge your senses with the finest of services and immerse yourself in luxury. Come and join the club today.

#AudiClubRewards #FutureIsAnAttitude #ad 
@AudiIN https://t.co/RTlfiTiQsz","['AudiClubRewards', 'FutureIsAnAttitude', 'ad']","['come', 'experience', 'audi', 'lifestyle', 'audi', 'club', 'reward', 'great', 'way', 'indulge', 'sens', 'finest', 'service', 'immerse', 'luxury', 'come', 'join', 'club', 'today']",audi club rewards  future is an attitude ad
77,2022-11-11 04:46:43+00:00,imVkohli,Thank you to all our fans who turned up in huge numbers throughout to support us in the stadiums. Always feel proud to wear this jersey and represent our country 🇮🇳💙,[],"['thank', 'fan', 'turned', 'huge', 'number', 'throughout', 'support', 'u', 'stadium', 'always', 'feel', 'proud', 'wear', 'jersey', 'represent', 'country']",
78,2022-11-11 04:46:42+00:00,imVkohli,We leave Australian shores short of achieving our dream and with disappointment in our hearts but we can take back a lot of memorable moments as a group and aim to get better from here on. https://t.co/l5NHYMZXPA,[],"['leave', 'australian', 'shore', 'short', 'achieving', 'dream', 'disappointment', 'heart', 'take', 'back', 'lot', 'memorable', 'moment', 'group', 'aim', 'get', 'better']",
79,2022-11-08 07:13:59+00:00,imVkohli,"Enjoying the process. 🙌♥️
.
#𝗩𝗜deo https://t.co/DmTpAarmzi",['𝗩𝗜deo'],"['enjoying', 'process', ' ']",𝗩𝗜deo
80,2022-11-06 11:43:26+00:00,imVkohli,➡️#semifinals 🇮🇳 https://t.co/1mxL8lSrpL,['semifinals'],[],semi finals
81,2022-11-06 04:17:57+00:00,imVkohli,Blessed to receive all your love. Thank you for your warm wishes. ❤️,[],"['blessed', 'receive', 'love', 'thank', 'warm', 'wish']",
82,2022-11-02 12:56:45+00:00,imVkohli,Character &amp; Conviction. 💪 https://t.co/WuYIpr99Xn,[],"['character', 'conviction']",
83,2022-10-31 09:10:22+00:00,imVkohli,Touchdown Adelaide 🇮🇳🫶 https://t.co/1leNe0jN8L,[],"['touchdown', 'adelaide']",
84,2022-10-30 15:49:15+00:00,imVkohli,Tough day today but we focus on the next one. ✌️🇮🇳 https://t.co/REJKpvx82y,[],"['tough', 'day', 'today', 'focus', 'next', 'one']",
85,2022-10-27 10:46:54+00:00,imVkohli,Another strong result. 🇮🇳💪 https://t.co/J5gKb6za8F,[],"['another', 'strong', 'result']",
86,2022-10-24 05:52:12+00:00,imVkohli,"A very Happy Diwali to you all. May the festival of lights bring you peace, joy and prosperity. ✨🪔",[],"['happy', 'diwali', 'may', 'festival', 'light', 'bring', 'peace', 'joy', 'prosperity']",
87,2022-10-23 13:09:29+00:00,imVkohli,Special win. Thank you to all our fans for turning up in numbers. 🇮🇳💙 https://t.co/hAcbuYGa1H,[],"['special', 'win', 'thank', 'fan', 'turning', 'number']",
88,2022-10-20 04:37:04+00:00,imVkohli,"I'm super pumped to enter the metaverse exclusively with @0xFanCraze

You can own and collect my player cards &amp; play cricket games to win big prizes!

Join me now on https://t.co/EYMrqZby6b and get started with your welcome bonus.

#OwnTheSquad #FanCraze #collab https://t.co/lZ7eymg8EN","['OwnTheSquad', 'FanCraze', 'collab']","['im', 'super', 'pumped', 'enter', 'metaverse', 'exclusively', 'collect', 'player', 'card', 'play', 'cricket', 'game', 'win', 'big', 'prize', 'join', 'get', 'started', 'welcome', 'bonus']",own the squad  fan craze collab
89,2022-10-18 05:02:37+00:00,imVkohli,"One8 select presents 'THE ULTIMATE FLEXIBLE SHOE', which would outshine any look you prefer to carry. 

Footwear designed for everyone and every look.
Explore the complete collection for the modern man on the move at https://t.co/pZbSHJJIdT
#footwear #mensfashion #ad 
@one8Select https://t.co/J0vvXYsSjS","['footwear', 'mensfashion', 'ad']","['one', 'select', 'present', 'ultimate', 'flexible', 'shoe', 'would', 'outshine', 'look', 'prefer', 'carry', 'footwear', 'designed', 'everyone', 'every', 'lookexplore', 'complete', 'collection', 'modern', 'man', 'move']",footwear  mensfashion ad
90,2022-10-18 04:26:29+00:00,imVkohli,Let's go ⏳🇮🇳 https://t.co/2a7hSuqyi6,[],"['lets', 'go']",
91,2022-10-15 11:03:42+00:00,imVkohli,"Congratulations @BCCIWomen
Way to go. 🇮🇳🏆👏",[],"['congratulation', 'go']",
92,2022-10-15 07:48:36+00:00,imVkohli,"Out and about in 🇶🇦  #tb
#𝗩𝗜deo 

https://t.co/Gx1TA1QeXP","['tb', '𝗩𝗜deo']",[],tb 𝗩𝗜deo
93,2022-10-14 05:00:00+00:00,imVkohli,"Celebrations are going to be incomplete without the magical #vivoV25series. This Diwali, experience all things delightful! #MagicalPhone #DelightEveryMoment #ad 

@vivo_india https://t.co/XEFSs3RgHO","['vivoV25series', 'MagicalPhone', 'DelightEveryMoment', 'ad']","['celebration', 'going', 'incomplete', 'without', 'magical', 'diwali', 'experience', 'thing', 'delightful']",vivo v 25 series  magical phone  delight every moment ad
94,2022-10-12 10:52:23+00:00,imVkohli,"Mobility is key 👌
Video credit - bhau @surya_14kumar https://t.co/SjHH9l2g89",[],"['mobility', 'key', 'video', 'credit', 'bhau']",
95,2022-10-12 05:17:29+00:00,imVkohli,📸 https://t.co/RFUeGaxKax,[],[],
96,2022-10-12 05:00:01+00:00,imVkohli,"🇮🇳

#BelieveInBlue as #TeamIndia gears up for ICC Men’s #T20WorldCup, Oct 16 onwards, LIVE on @StarSportsIndia &amp; Disney+Hotstar.
#ad https://t.co/EXI1gYh1wt","['BelieveInBlue', 'TeamIndia', 'T20WorldCup', 'ad']","['gear', 'icc', 'men', 'oct', 'onwards', 'live', 'disney', 'hotstar']",believe in blue  team india t 20 world cup ad
97,2022-10-11 13:24:15+00:00,imVkohli,@RichardMarlesMP @DrSJaishankar It's an honour sir. Thank you @DrSJaishankar.,[],"['honour', 'sir', 'thank']",
98,2022-10-11 04:38:58+00:00,imVkohli,An inspiration to people across generations. To many more years of happiness and good health. Wishing you a very happy birthday @SrBachchan sir.,[],"['inspiration', 'people', 'across', 'generation', 'many', 'year', 'happiness', 'good', 'health', 'wishing', 'happy', 'birthday', 'sir']",
99,2022-10-11 04:22:19+00:00,imVkohli,"Day off with the boys ⭐
@HarshalPatel23 @HoodaOnFire @akshar2026 https://t.co/neJ5C7JBI3",[],"['day', 'boy']",
100,2022-10-10 05:22:41+00:00,imVkohli,"Looking for an extra dose of energy to get you through your day? Try O’cean Energy Drink. It’s now @ Rs 55/- only. @OceanBeverages

Use code VKOCEAN to get flat 10% off on https://t.co/2JMvdR8Z45

#OceanBeverages #OceanEnergyDrink #LongLastingEnergy #PlantBasedCaffeine #ad https://t.co/ukY5R12T3k","['OceanBeverages', 'OceanEnergyDrink', 'LongLastingEnergy', 'PlantBasedCaffeine', 'ad']","['looking', 'extra', 'dose', 'energy', 'get', 'day', 'try', 'ocean', 'energy', 'drink', 'r', 'code', 'vkocean', 'get', 'flat']",ocean beverages  ocean energy drink  long lasting energy  plant based caffeine ad
101,2022-10-09 07:48:08+00:00,imVkohli,Love the preparation phase 🫶 https://t.co/Hmc6hEUOYO,[],"['love', 'preparation', 'phase']",
102,2022-10-07 05:07:06+00:00,imVkohli,"Choose the Tourister life wherever you go with @AMtouristerIN’s Hamilton suitcase. 

Bag cool deals on American Tourister luggage &amp; backpacks only on @Flipkart's #BigDiwaliSale.

#AmericanTourister #AmericanTouristerIndia #Flipkart #Hamilton #TravelWithAT #TravelInStyle #Ad https://t.co/7B4rPz1Ysu","['BigDiwaliSale', 'AmericanTourister', 'AmericanTouristerIndia', 'Flipkart', 'Hamilton', 'TravelWithAT', 'TravelInStyle', 'Ad']","['choose', 'tourister', 'life', 'wherever', 'go', 'hamilton', 'suitcasebag', 'cool', 'deal', 'american', 'tourister', 'luggage', 'backpack']",big diwali sale  american tourister  american tourister india  flipkart  hamilton  travel with at  travel in style  ad
103,2022-10-06 05:41:02+00:00,imVkohli,"Happy birthday Hulk. God bless you. 😎 
@buntysajdeh https://t.co/tQaDn9sVD8",[],"['happy', 'birthday', 'hulk', 'god', 'bless']",
104,2022-10-06 02:08:46+00:00,imVkohli,Australia bound ✈️. Exciting times ahead. ✌️ @yuzi_chahal @HarshalPatel23 https://t.co/KtmertwefU,[],"['australia', 'bound', 'exciting', 'time', 'ahead']",
105,2022-10-05 04:59:21+00:00,imVkohli,"May the light always prevail. 
Happy Dussehra to you and your loved ones.",[],"['may', 'light', 'always', 'prevail', 'happy', 'dussehra', 'loved', 'one']",
106,2022-10-03 10:06:45+00:00,imVkohli,"Crooked teeth issues not letting you smile? Check out @toothsialigners.
An easy peasy solution for teeth straightening backed by experts. Download the makeO app to book a scan and start your smile makeOver journey today. 
#makeO #toothsiclearaligners #easypeasytoothsi #ad https://t.co/g6jocZbHWa","['makeO', 'toothsiclearaligners', 'easypeasytoothsi', 'ad']","['crooked', 'teeth', 'issue', 'letting', 'smile', 'check', 'easy', 'peasy', 'solution', 'teeth', 'straightening', 'backed', 'expert', 'download', 'makeo', 'app', 'book', 'scan', 'start', 'smile', 'makeover', 'journey', 'today']",make o toothsiclearaligners easypeasytoothsi ad
107,2022-10-02 18:42:56+00:00,imVkohli,Great game. Terrific atmosphere. Thank you Guwahati. 🇮🇳💙 https://t.co/pId8ITMQRA,[],"['great', 'game', 'terrific', 'atmosphere', 'thank', 'guwahati']",
108,2022-10-02 10:48:40+00:00,imVkohli,Happy Gandhi Jayanti to all. Jai Hind 🇮🇳,[],"['happy', 'gandhi', 'jayanti', 'jai', 'hind']",
