,Date,User,Tweet,hashtag,text,Segmented#
249,2023-02-25 15:44:01+00:00,narendramodi,The land of Karnataka is special. It epitomises the spirit of 'Ek Bharat Shreshtha Bharat.' https://t.co/dDPGhZEbss,[],"['land', 'karnataka', 'special', 'epitomises', 'spirit', 'ek', 'bharat', 'shreshtha', 'bharat']",
250,2023-02-25 13:07:40+00:00,narendramodi,Addressing ‘Barisu Kannada Dimdimava’ cultural festival in Delhi. It celebrates the vivid culture of Karnataka. https://t.co/8PipVHg2U1,[],"['addressing', 'barisu', 'kannada', 'dimdimava', 'cultural', 'festival', 'delhi', 'celebrates', 'vivid', 'culture', 'karnataka']",
251,2023-02-25 11:32:17+00:00,narendramodi,"Chancellor @OlafScholz and I met top CEOs to discuss ways to strengthen economic relations between our nations. Sectors like digital transformation, FinTech, IT and Telecom featured prominently in the meeting. https://t.co/0tACfOrlsI",[],"['chancellor', 'met', 'top', 'ceo', 'discus', 'way', 'strengthen', 'economic', 'relation', 'nation', 'sector', 'like', 'digital', 'transformation', 'fintech', 'telecom', 'featured', 'prominently', 'meeting']",
252,2023-02-25 11:29:24+00:00,narendramodi,"Held productive talks with Chancellor @OlafScholz. Our talks focussed on ways to boost India-Germany cooperation and further augment trade ties. We also agreed to deepen ties in renewable energy, green hydrogen and biofuels. Security cooperation was also discussed. @Bundeskanzler https://t.co/HHXr5xTTnn",[],"['held', 'productive', 'talk', 'chancellor', 'talk', 'focussed', 'way', 'boost', 'indiagermany', 'cooperation', 'augment', 'trade', 'tie', 'also', 'agreed', 'deepen', 'tie', 'renewable', 'energy', 'green', 'hydrogen', 'biofuels', 'security', 'cooperation', 'wa', 'also', 'discussed']",
253,2023-02-25 11:26:34+00:00,narendramodi,"Glimpses from the ceremonial welcome in the honour of Chancellor @OlafScholz. 🇮🇳 🇩🇪 

@Bundeskanzler https://t.co/FGDEGavy0H",[],"['glimpse', 'ceremonial', 'welcome', 'honour', 'chancellor']",
254,2023-02-25 08:36:28+00:00,narendramodi,"ಅಮೃತ ಮಹೋತ್ಸವದ ಅಂಗವಾಗಿ ದೆಹಲಿ ಕರ್ನಾಟಕ ಸಂಘ ದೆಹಲಿಯಲ್ಲಿ ಆಯೋಜಿಸಿರುವ ‘ಬಾರಿಸು ಕನ್ನಡ ಡಿಂಡಿಮವ'  ಸಾಂಸ್ಕೃತಿಕ ಉತ್ಸವದಲ್ಲಿ ಇಂದು ಸಂಜೆ 5 ಗಂಟೆಗೆ ಪಾಲ್ಗೊಳ್ಳಲಿದ್ದೇನೆ. ಈ ಕಾರ್ಯಕ್ರಮವು ಕರ್ನಾಟಕದ ಅದ್ಭುತ ಸಂಸ್ಕೃತಿಯ ಆಚರಣೆಯಾಗಿದೆ ಮತ್ತು ರಾಜ್ಯದ ನೃತ್ಯ, ಸಂಗೀತ ಮತ್ತು ನಾಟಕದಂತಹ ಪ್ರಾಕಾರಗಳನ್ನು ಪ್ರದರ್ಶಿಸುತ್ತದೆ.",[],[],
255,2023-02-25 08:36:03+00:00,narendramodi,"At 5 PM, I will be joining the ‘Barisu Kannada Dimdimava’ cultural festival in Delhi, as part of the Amrit Mahotsav celebration of Delhi Karnataka Sangha. This programme celebrates the vibrant culture of Karnataka and showcases aspects such as dance, music and drama from there.",[],"['pm', 'joining', 'barisu', 'kannada', 'dimdimava', 'cultural', 'festival', 'delhi', 'part', 'amrit', 'mahotsav', 'celebration', 'delhi', 'karnataka', 'sangha', 'programme', 'celebrates', 'vibrant', 'culture', 'karnataka', 'showcase', 'aspect', 'dance', 'music', 'drama']",
256,2023-02-25 08:16:54+00:00,narendramodi,"Addressing the press meet with German Chancellor Olaf Scholz. @Bundeskanzler
 https://t.co/H5cKNXHD9C",[],"['addressing', 'press', 'meet', 'german', 'chancellor', 'olaf', 'scholz']",
257,2023-02-25 05:00:44+00:00,narendramodi,Speaking on how the Amrit Kaal Budget will give boost to education sector and benefit our talented Yuva Shakti. https://t.co/cDlmIyBmbT,[],"['speaking', 'amrit', 'kaal', 'budget', 'give', 'boost', 'education', 'sector', 'benefit', 'talented', 'yuva', 'shakti']",
258,2023-02-25 03:32:58+00:00,narendramodi,"बहुत अच्छा! विद्यार्थी परीक्षा को लेकर हर प्रकार के तनाव से मुक्त हों, यही तो एग्जाम वॉरियर्स का उद्देश्य है…",[],[],
